,mbid,Song,Artist,Album,Date,Year,Month,User
16795,,L I V,Lil Cobaine,L I V,2021-11-12 07:46:00,2021,11,wuhuspringfield
16796,,Life's A Mess (feat. Halsey),Juice WRLD,Legends Never Die,2021-11-12 07:42:00,2021,11,wuhuspringfield
16797,d00083b0-2043-45b3-a3fe-753754067e3a,Moon River,Frank Ocean,Moon River,2021-11-12 07:39:00,2021,11,wuhuspringfield
16798,,"Hey, wir wollen die Eisbären seh'n",Rex Black,"Hey, wir wollen die Eisbären seh'n",2021-11-12 06:51:00,2021,11,wuhuspringfield
16799,,Hemma - Chet Porter Remix,Kasbo,Hemma (Chet Porter Remix),2021-11-12 06:47:00,2021,11,wuhuspringfield
16800,1544330b-96b5-49bd-98f9-43bc685e7b84,Hemma,Kasbo,Hemma (Chet Porter Remix),2021-11-12 06:44:00,2021,11,wuhuspringfield
16801,,Breakfast at Tiffany's,Deep Blue Something,Home,2021-11-12 06:40:00,2021,11,wuhuspringfield
16802,,LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,DAMN.,2021-11-11 18:06:00,2021,11,wuhuspringfield
16803,2b838319-0487-4b5c-a91b-39289c0afab1,Reasons,COTIS,RECKLESS,2021-11-11 18:03:00,2021,11,wuhuspringfield
16804,,Hollow,Emmit Fenn,Hollow,2021-11-11 17:59:00,2021,11,wuhuspringfield
16805,,Racer++,Elroy,Demonslayer,2021-11-11 17:56:00,2021,11,wuhuspringfield
16806,,Racer++,Elroy,Demonslayer,2021-11-11 17:25:00,2021,11,wuhuspringfield
16807,1544330b-96b5-49bd-98f9-43bc685e7b84,Hemma,Kasbo,Hemma (Chet Porter Remix),2021-11-11 16:50:00,2021,11,wuhuspringfield
16808,1544330b-96b5-49bd-98f9-43bc685e7b84,Hemma,Kasbo,Hemma (Chet Porter Remix),2021-11-11 16:37:00,2021,11,wuhuspringfield
16809,,Hemma - Chet Porter Remix,Kasbo,Hemma (Chet Porter Remix),2021-11-11 16:03:00,2021,11,wuhuspringfield
16810,1544330b-96b5-49bd-98f9-43bc685e7b84,Hemma,Kasbo,Hemma (Chet Porter Remix),2021-11-11 16:00:00,2021,11,wuhuspringfield
16811,,LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,DAMN.,2021-11-11 15:58:00,2021,11,wuhuspringfield
16812,2b838319-0487-4b5c-a91b-39289c0afab1,Reasons,COTIS,RECKLESS,2021-11-11 15:55:00,2021,11,wuhuspringfield
16813,,Hollow,Emmit Fenn,Hollow,2021-11-11 15:51:00,2021,11,wuhuspringfield
16814,,Racer++,Elroy,Demonslayer,2021-11-11 15:44:00,2021,11,wuhuspringfield
16815,,Hemma - Chet Porter Remix,Kasbo,Hemma (Chet Porter Remix),2021-11-11 15:39:00,2021,11,wuhuspringfield
16816,1544330b-96b5-49bd-98f9-43bc685e7b84,Hemma,Kasbo,Hemma (Chet Porter Remix),2021-11-11 15:36:00,2021,11,wuhuspringfield
16817,,Breakfast at Tiffany's,Deep Blue Something,Home,2021-11-11 12:47:00,2021,11,wuhuspringfield
16818,,DREAMS,Monto,DREAMS,2021-11-11 09:20:00,2021,11,wuhuspringfield
16819,,favorite color,contradash,favorite color,2021-11-11 09:04:00,2021,11,wuhuspringfield
16820,,Dead Eyes,Promoting Sounds,Dead Eyes,2021-11-11 09:00:00,2021,11,wuhuspringfield
16821,,Bonnie,LIL DUSTY G,Siix,2021-11-11 08:58:00,2021,11,wuhuspringfield
16822,,big,Koi,10&2,2021-11-11 08:56:00,2021,11,wuhuspringfield
16823,,picking myself up again,Fats'e,staring at the ceiling,2021-11-11 08:43:00,2021,11,wuhuspringfield
16824,1a8f5c87-3d04-4c29-9e75-7e1ee3126aaa,Don't Wanna Breathe,Kodak Black,Project Baby 2: All Grown Up,2021-11-11 08:14:00,2021,11,wuhuspringfield
16825,,All I Can Say,Abstract,All I Can Say,2021-11-11 08:12:00,2021,11,wuhuspringfield
16826,,Blast Off,Nate Good,Blast Off,2021-11-11 08:09:00,2021,11,wuhuspringfield
16827,18e307f6-0884-462e-9c54-a4c01572eff9,KIDS ON MOLLY,Aries,kids on molly,2021-11-11 08:06:00,2021,11,wuhuspringfield
16828,18e307f6-0884-462e-9c54-a4c01572eff9,KIDS ON MOLLY,Aries,kids on molly,2021-11-11 07:58:00,2021,11,wuhuspringfield
16829,,In Your Arms - Duett Version,Stanfour,In Your Arms,2021-11-11 07:54:00,2021,11,wuhuspringfield
16830,06d70073-6c70-475f-a00c-522e9d1a33c6,Michael X,Casper,XOXO,2021-11-11 07:47:00,2021,11,wuhuspringfield
16831,,Hollow,Emmit Fenn,Hollow,2021-11-11 07:35:00,2021,11,wuhuspringfield
16832,,Racer++,Elroy,Demonslayer,2021-11-11 07:32:00,2021,11,wuhuspringfield
16833,1544330b-96b5-49bd-98f9-43bc685e7b84,Hemma,Kasbo,Hemma (Chet Porter Remix),2021-11-11 07:16:00,2021,11,wuhuspringfield
16834,,Hemma - Chet Porter Remix,Kasbo,Hemma (Chet Porter Remix),2021-11-11 07:07:00,2021,11,wuhuspringfield
16835,,"you’ve changed, i’ve changed",San Holo,bb u ok?,2021-11-11 06:37:00,2021,11,wuhuspringfield
16836,,Waltz of Despair,Andrew Applepie,Waltz of Despair,2021-11-11 06:34:00,2021,11,wuhuspringfield
16837,,The Way Life Goes (feat. Oh Wonder),Lil Uzi Vert,Luv Is Rage 2,2021-11-11 06:29:00,2021,11,wuhuspringfield
16838,7f9ed3d2-1e92-4b2d-8f6a-88eadcbf66f3,Ponyhof,Enno Bunger,"Was berührt, das bleibt",2021-11-11 06:23:00,2021,11,wuhuspringfield
16839,,Hollow,Emmit Fenn,Hollow,2021-11-11 06:16:00,2021,11,wuhuspringfield
16840,,Racer++,Elroy,Demonslayer,2021-11-11 06:13:00,2021,11,wuhuspringfield
16841,,Hollow,Emmit Fenn,Hollow,2021-11-10 14:04:00,2021,11,wuhuspringfield
16842,,Racer++,Elroy,Demonslayer,2021-11-10 13:13:00,2021,11,wuhuspringfield
16843,,Racer++,Elroy,Demonslayer,2021-11-10 11:43:00,2021,11,wuhuspringfield
16844,,Hollow,Emmit Fenn,Hollow,2021-11-10 11:38:00,2021,11,wuhuspringfield
16845,,Racer++,Elroy,Demonslayer,2021-11-10 11:35:00,2021,11,wuhuspringfield
16846,2b838319-0487-4b5c-a91b-39289c0afab1,Reasons,COTIS,RECKLESS,2021-11-09 21:30:00,2021,11,wuhuspringfield
16847,,Hollow,Emmit Fenn,Hollow,2021-11-09 21:26:00,2021,11,wuhuspringfield
16848,,Racer++,Elroy,Demonslayer,2021-11-09 21:22:00,2021,11,wuhuspringfield
16849,2b838319-0487-4b5c-a91b-39289c0afab1,Reasons,COTIS,RECKLESS,2021-11-09 18:52:00,2021,11,wuhuspringfield
16850,,Hollow,Emmit Fenn,Hollow,2021-11-09 18:48:00,2021,11,wuhuspringfield
16851,,Racer++,Elroy,Demonslayer,2021-11-09 18:34:00,2021,11,wuhuspringfield
16852,,Drops of Jupiter (Tell Me),Train,Drops of Jupiter,2021-11-09 16:06:00,2021,11,wuhuspringfield
16853,05ea95e1-1c21-34a5-af8d-fa65952fba8e,I Will Follow You Into The Dark,Death Cab for Cutie,Plans,2021-11-09 16:03:00,2021,11,wuhuspringfield
16854,0032e251-c038-36d9-8cc6-60b0ddc0f887,A Drop In The Ocean,Ron Pope,The Bedroom Demos,2021-11-09 15:57:00,2021,11,wuhuspringfield
16855,,All of Me,John Legend,Love In The Future (Expanded Edition),2021-11-09 15:47:00,2021,11,wuhuspringfield
16856,1cc618d5-cbdf-4b93-af9f-338a0673c112,Hold You Down,X Ambassadors,ORION,2021-11-09 11:47:00,2021,11,wuhuspringfield
16857,217ae65c-14ad-47ef-ba01-328ac1b4172d,Push Through,DROELOE,A Promise Is Made,2021-11-09 11:43:00,2021,11,wuhuspringfield
16858,10dec31f-975c-3584-bfcf-51ca0463744b,Intro,The xx,xx,2021-11-09 11:41:00,2021,11,wuhuspringfield
16859,d83b3387-bffa-4b04-aa07-c656477d3843,Downtown,Lilla Vargen,Downtown,2021-11-09 10:23:00,2021,11,wuhuspringfield
16860,d76eb8a0-a31f-4ca8-87a3-351a30988cc3,Home,Aries,WELCOME HOME,2021-11-09 10:13:00,2021,11,wuhuspringfield
16861,12a7f231-b5c3-43a5-acf7-cc23b0b66cc1,SANTA MONICA,Aries,SANTA MONICA,2021-11-09 10:10:00,2021,11,wuhuspringfield
16862,,Hollow,Emmit Fenn,Hollow,2021-11-09 10:05:00,2021,11,wuhuspringfield
16863,,Racer++,Elroy,Demonslayer,2021-11-09 10:02:00,2021,11,wuhuspringfield
16864,,Hollow,Emmit Fenn,Hollow,2021-11-09 09:56:00,2021,11,wuhuspringfield
16865,,Madonna,Brennan Savage,Madonna,2021-11-09 09:50:00,2021,11,wuhuspringfield
16866,,I KNOW,Marco,i know,2021-11-09 09:48:00,2021,11,wuhuspringfield
16867,,BAD APPLES,Monto,Bad Apples,2021-11-09 09:17:00,2021,11,wuhuspringfield
16868,,ICE,Elroy,AIR + ICE,2021-11-09 09:15:00,2021,11,wuhuspringfield
16869,,pains,50landing,growing pains,2021-11-09 09:12:00,2021,11,wuhuspringfield
16870,,Fairytale,Elroy,Fairytale,2021-11-09 09:09:00,2021,11,wuhuspringfield
16871,,Racer++,Elroy,Demonslayer,2021-11-09 09:04:00,2021,11,wuhuspringfield
16872,,Winter,Bryce Bishop,Winter,2021-11-09 09:01:00,2021,11,wuhuspringfield
16873,,big,Koi,10&2,2021-11-09 09:00:00,2021,11,wuhuspringfield
16874,180c68c0-fc6b-4ccd-89c7-137a2c7bdff3,Wishing Well,Juice WRLD,Legends Never Die,2021-11-09 08:54:00,2021,11,wuhuspringfield
16875,10d63f84-cf83-4d3e-a0c8-71072ddf2b8f,Man Of The Year,Juice WRLD,Legends Never Die,2021-11-09 08:19:00,2021,11,wuhuspringfield
16876,49059c1f-9259-4882-9736-b81bfe3ee99a,Can't Die,Juice WRLD,Legends Never Die,2021-11-09 08:16:00,2021,11,wuhuspringfield
16877,1b7d778b-7e48-4758-9845-745e495c71bf,Stay High,Juice WRLD,Legends Never Die,2021-11-09 08:16:00,2021,11,wuhuspringfield
16878,1b7d778b-7e48-4758-9845-745e495c71bf,Stay High,Juice WRLD,Legends Never Die,2021-11-09 08:13:00,2021,11,wuhuspringfield
16879,,"The Man, The Myth, The Legend - Interlude",Juice WRLD,Legends Never Die,2021-11-09 08:12:00,2021,11,wuhuspringfield
16880,008d7f73-de61-4dd1-bbad-86e81b55c98c,Screw Juice,Juice WRLD,Legends Never Die,2021-11-09 08:09:00,2021,11,wuhuspringfield
16881,001898a9-ec64-458c-8b95-02c3419db9e2,Up Up And Away,Juice WRLD,Legends Never Die,2021-11-09 08:09:00,2021,11,wuhuspringfield
