,mbid,Song,Artist,Album,Date,Year,Month
959,0802b190-e24b-48f4-9536-189f8b4533da,Outro,M83,"Hurry Up, We're Dreaming",2022-09-30 14:20:00,2022,9
960,05fb4eca-b785-34d0-94e0-1578701190ca,Midnight City,M83,"Hurry Up, We're Dreaming",2022-09-30 14:16:00,2022,9
961,b27ae7ed-6a27-4dd0-876c-5f501c880e6f,Dreamland,Glass Animals,Dreamland (+ Bonus Levels),2022-09-30 14:13:00,2022,9
962,134693ab-b197-43d4-8885-8ccae8dc8305,Strangers,Mt. Joy,Rearrange Us,2022-09-30 14:10:00,2022,9
963,20e218e3-ead9-424e-8132-a0a6cabe1f14,Lydia (Please Make It Better),Fred again..,Actual Life (April 14 - December 17 2020),2022-09-30 14:07:00,2022,9
964,,Yours Now,ATO,Yours Now,2022-09-30 00:59:00,2022,9
965,,Adeline (feat. Kathleen),John-Robert,Adeline,2022-09-30 00:47:00,2022,9
966,,Heroin,The Velvet Underground,The Velvet Underground & Nico 45th Anniversary,2022-09-30 00:40:00,2022,9
967,,Venus in Furs,The Velvet Underground,The Velvet Underground & Nico 45th Anniversary,2022-09-30 00:35:00,2022,9
968,3926e966-0e54-4c0f-9288-524b32bccbaf,iMi,Bon Iver,"i,i",2022-09-30 00:32:00,2022,9
969,,Garden Shed (feat. Estelle),"Tyler, the Creator",Flower Boy,2022-09-30 00:28:00,2022,9
970,,Indica Badu,Logic,Bobby Tarantino II,2022-09-30 00:24:00,2022,9
971,,i wouldn't mind at all,Censthetic,i wouldn't mind at all,2022-09-30 00:19:00,2022,9
972,a1b9c584-15db-4c3e-afc7-b8957a8d71e8,Nowhere Man,Bryce Vine,Night Circus,2022-09-30 00:15:00,2022,9
973,2db43092-a7d9-310a-aa77-071649401d95,Lass mich allein,Bushido,AMYF (Premium Edition),2022-09-30 00:09:00,2022,9
974,,Ich war noch niemals in New York,Udo Jürgens,Aber bitte mit Sahne - Jubiläumsedition,2022-09-30 00:04:00,2022,9
975,0c25dc4c-8584-3fcd-bcc9-ed9af7f668bf,So perfekt,Casper,XOXO,2022-09-30 00:00:00,2022,9
976,,Bis die Stimmen verstummen,Koolhy,Bis die Stimmen verstummen,2022-09-29 23:56:00,2022,9
977,00e871d7-a0b6-385f-9cef-744783529ff5,Sonnenbank Flavour,Bushido,Von der Skyline zum Bordstein zurück,2022-09-29 23:53:00,2022,9
978,111944e9-bf1c-457f-9486-61f5c6851d37,Alles was ich hab,Fynn Kliemann,POP,2022-09-29 23:49:00,2022,9
979,83efcec1-4a3f-4295-8a52-74762d46a644,Für Immer Jung,Bushido,Heavy Metal Payback,2022-09-29 23:44:00,2022,9
980,,i don't feel anything anymore,San Holo,bb u ok? Deluxe,2022-09-29 23:38:00,2022,9
981,,MIA - Robotaki Remix,RAC,MIA (Robotaki Remix),2022-09-29 23:34:00,2022,9
982,,CHANT (feat. Tones And I),Macklemore,CHANT (feat. Tones And I),2022-09-29 23:30:00,2022,9
983,,Cigarette,Lil Uzi Vert,Red & White,2022-09-29 23:27:00,2022,9
984,03eb60c4-db51-36e3-aa9b-2ed4b6a3cef7,What's My Name?,Rihanna,Loud,2022-09-29 23:22:00,2022,9
985,9981f5f6-e012-356a-a8b5-d3890dac3f73,Do You Know? (The Ping Pong Song),Enrique Iglesias,Insomniac (New International Version Spanish),2022-09-29 23:19:00,2022,9
986,,Angels,Robbie Williams,Life Thru a Lens,2022-09-29 23:13:00,2022,9
987,e3a7bfb0-6494-49ac-a8d8-de4f47a6f435,Carousel,Aries,WELCOME HOME,2022-09-29 22:45:00,2022,9
988,,Yours Now,ATO,Yours Now,2022-09-29 22:41:00,2022,9
989,,Computer Crash,Lui Joseph,Computer Crash,2022-09-29 22:38:00,2022,9
990,a55cbe6e-6305-49b5-a638-9f069bef02c4,Up and Away,COTIS,RECKLESS,2022-09-29 22:35:00,2022,9
991,12a7f231-b5c3-43a5-acf7-cc23b0b66cc1,SANTA MONICA,Aries,WELCOME HOME,2022-09-29 22:32:00,2022,9
992,,enemies,Zac Greer,headaches,2022-09-29 22:30:00,2022,9
993,2d1e4090-ea37-4a1e-8df4-2482d3ad8073,Small Talk,Kid Quill,94.3 the Reel,2022-09-29 22:26:00,2022,9
994,,SAFE,Jon Waltz,SAFE,2022-09-29 22:23:00,2022,9
995,,melatonin,Zac Greer,melatonin,2022-09-29 22:20:00,2022,9
996,,Same Kids,jdam,Exxxscape,2022-09-29 22:16:00,2022,9
997,9ead4dd9-791b-49cc-8cbf-6ad454ccf4dd,AMY'S GRAVE,Aries,WELCOME HOME,2022-09-29 22:12:00,2022,9
998,,I've Been So Numb Since You Left Me,Yung Van,I've Been So Numb Since You Left Me,2022-09-29 22:08:00,2022,9
999,,4letterword,OCTAVIO the Dweeb,Dweeb Tapes,2022-09-29 22:05:00,2022,9
1000,,619,Sleepa,619,2022-09-29 22:02:00,2022,9
1001,b27ae7ed-6a27-4dd0-876c-5f501c880e6f,Dreamland,Glass Animals,Dreamland (+ Bonus Levels),2022-09-29 21:57:00,2022,9
1002,134693ab-b197-43d4-8885-8ccae8dc8305,Strangers,Mt. Joy,Rearrange Us,2022-09-29 21:54:00,2022,9
